trial_id,baseline,random_vector_alpha_1,random_vector_alpha_2,random_vector_alpha_3,random_vector_alpha_4,random_vector_alpha_5,role_vector_alpha_1,role_vector_alpha_2,role_vector_alpha_3,role_vector_alpha_4,role_vector_alpha_5
france-injected-172,False,False,False,False,False,False,False,False,False,False,False
france-injected-173,False,False,False,False,False,False,False,False,False,False,False
france-injected-174,False,True,False,True,True,True,True,True,True,True,True
france-injected-175,False,False,False,False,False,False,False,False,False,False,False
france-injected-176,True,True,True,True,True,True,True,True,True,True,True
france-injected-177,True,True,True,True,True,True,True,True,True,True,True
france-injected-178,True,True,True,True,False,True,True,True,True,True,True
france-injected-179,False,False,False,False,False,False,False,False,False,False,False
france-injected-18,False,False,False,False,False,False,False,False,False,False,False
france-injected-180,False,False,False,False,False,False,False,False,False,False,False
france-injected-181,False,False,True,False,False,False,False,False,False,False,False
france-injected-182,False,False,False,False,False,False,False,False,False,False,False
france-injected-183,False,False,False,False,False,False,False,False,False,False,False
france-injected-184,False,False,False,False,False,False,False,False,False,False,True
france-injected-185,False,False,False,False,False,False,False,False,False,False,False
france-injected-186,False,False,False,False,False,False,False,False,False,False,False
france-injected-187,False,False,False,False,False,False,False,False,False,False,False
france-injected-188,False,True,False,False,False,False,True,True,True,True,True
france-injected-189,False,True,False,True,True,False,True,True,False,False,False
france-injected-19,True,True,True,True,True,True,True,True,True,True,True
france-injected-190,False,False,False,False,False,False,False,False,False,False,False
france-injected-191,False,False,False,False,False,False,False,False,False,False,False
france-injected-192,True,True,True,True,True,True,True,True,True,True,True
france-injected-193,True,True,True,False,False,False,True,True,True,False,True
france-injected-194,False,False,False,False,False,True,False,True,True,False,True
france-injected-195,True,False,False,False,False,False,False,True,True,False,True
france-injected-196,True,True,True,True,True,True,True,True,True,True,True
france-injected-197,False,False,False,False,False,False,False,False,False,False,False
france-injected-198,False,False,False,False,False,False,False,False,False,False,False
france-injected-199,False,False,False,False,False,False,False,False,False,False,False
france-injected-2,False,False,False,False,False,False,False,False,False,False,False
france-injected-20,False,True,True,False,True,True,False,False,False,False,False
france-injected-21,True,True,True,True,True,True,False,True,True,True,False
france-injected-22,True,True,True,True,True,True,True,True,True,True,True
france-injected-23,False,False,False,False,False,False,False,False,False,False,False
france-injected-24,False,False,False,False,False,False,False,False,False,False,False
france-injected-25,True,True,True,True,True,True,True,True,True,True,True
france-injected-26,True,True,True,True,True,True,True,True,True,True,True
france-injected-27,False,False,False,True,False,False,True,False,False,False,False
france-injected-28,False,False,False,False,False,False,False,False,False,False,False
france-injected-29,False,False,False,True,True,True,True,True,False,True,False
france-injected-3,False,False,False,False,False,False,False,False,False,False,False
france-injected-30,True,True,True,True,True,True,True,True,True,False,True
france-injected-31,False,False,False,False,False,False,False,False,False,False,False
france-injected-32,False,False,False,False,False,False,False,False,False,False,False
france-injected-33,False,False,False,False,False,False,False,False,False,False,False
france-injected-34,False,False,False,False,False,False,False,False,False,False,False
france-injected-35,True,True,True,True,True,True,True,True,True,True,True
france-injected-36,False,False,False,False,False,False,False,False,False,False,False
france-injected-37,False,False,False,False,False,False,False,False,False,False,False
france-injected-38,False,False,False,False,False,False,False,False,False,False,False
france-injected-39,False,False,False,False,False,False,False,False,False,True,True
france-injected-4,False,False,False,False,False,False,False,False,False,False,False
france-injected-40,True,True,True,True,True,True,True,True,True,True,True
france-injected-41,False,False,False,False,False,False,False,False,False,False,False
france-injected-42,False,False,False,False,False,False,True,False,False,False,False
france-injected-43,False,False,False,False,False,False,False,False,False,False,False
france-injected-44,False,False,False,False,False,False,False,False,False,False,False
france-injected-45,False,False,False,False,False,False,False,False,False,False,False
france-injected-46,False,True,False,False,False,False,False,True,False,True,False
france-injected-47,False,False,False,False,False,False,False,False,False,False,False
france-injected-48,False,False,True,True,True,True,True,False,False,True,False
france-injected-49,False,False,False,False,False,False,False,False,False,False,False
france-injected-5,False,False,False,False,False,False,False,False,False,False,False
france-injected-50,False,False,False,False,False,False,False,False,False,False,False
france-injected-51,True,True,True,True,True,True,True,True,True,True,True
france-injected-52,True,True,True,False,True,False,True,False,False,False,False
france-injected-53,False,False,False,False,False,False,False,False,False,False,False
france-injected-54,False,False,False,False,False,False,False,False,False,False,False
france-injected-55,False,False,False,False,False,False,False,False,False,False,False
france-injected-56,False,False,False,False,False,False,False,False,False,False,False
france-injected-57,True,True,True,True,True,True,True,True,True,True,True
france-injected-58,False,False,False,False,False,False,False,False,False,False,False
france-injected-59,False,False,False,False,False,False,False,False,False,False,False
france-injected-6,False,False,True,True,False,False,False,False,False,False,False
france-injected-60,False,False,False,False,False,False,False,False,False,False,False
france-injected-61,False,False,False,False,False,False,False,False,False,False,False
france-injected-62,False,False,False,False,False,False,False,False,False,False,False
france-injected-63,False,False,False,False,False,False,False,False,False,False,False
france-injected-64,True,True,True,True,True,True,True,True,True,False,True
france-injected-65,True,True,True,True,True,True,True,True,True,True,True
france-injected-66,True,True,True,True,True,True,True,True,True,True,True
france-injected-67,False,False,False,False,False,False,False,False,False,False,False
france-injected-68,True,True,True,True,True,True,True,True,True,True,True
france-injected-69,False,False,False,False,False,False,True,True,True,True,False
france-injected-7,True,True,True,True,True,True,True,True,True,True,True
france-injected-70,False,False,False,False,False,False,False,False,False,False,False
france-injected-71,False,False,False,False,False,False,False,False,False,False,False
france-injected-72,False,False,False,False,False,False,False,False,False,False,False
france-injected-73,False,False,False,False,False,False,False,False,False,False,False
france-injected-74,False,False,False,False,False,False,False,False,False,False,False
france-injected-75,False,False,False,False,False,False,False,False,False,False,False
france-injected-76,False,False,False,False,False,False,False,False,False,False,False
france-injected-77,False,False,False,False,False,False,False,False,False,False,False
france-injected-78,False,False,False,False,False,False,False,False,False,False,False
france-injected-79,True,True,True,True,True,True,True,True,True,True,True
france-injected-8,False,False,False,False,False,False,False,False,False,False,False
france-injected-80,True,False,True,True,True,True,True,True,True,True,False
france-injected-81,False,False,False,False,False,False,False,False,False,False,False
france-injected-82,False,False,False,True,False,True,False,False,True,True,True
france-injected-83,True,True,True,True,True,True,True,False,True,True,True
france-injected-84,False,False,False,False,False,False,False,False,False,False,False
france-injected-85,False,False,False,False,False,False,False,False,False,False,False
france-injected-86,False,False,False,False,False,False,False,False,False,False,False
france-injected-87,False,False,False,False,False,False,False,False,False,False,False
france-injected-88,False,False,False,False,False,False,False,False,False,False,False
france-injected-89,True,False,False,False,False,False,False,False,False,False,False
france-injected-9,False,False,False,False,False,False,False,False,False,True,False
france-injected-90,False,False,False,False,False,False,False,False,False,False,False
france-injected-91,False,False,False,False,False,False,False,False,False,False,False
france-injected-92,True,False,False,False,True,True,False,True,False,False,False
france-injected-93,False,False,False,False,False,False,False,False,False,False,False
france-injected-94,False,False,True,False,False,True,True,True,True,False,True
france-injected-95,False,False,False,False,False,False,False,False,False,False,False
france-injected-96,False,False,False,False,False,False,False,False,False,False,False
france-injected-97,False,False,False,False,False,False,False,False,False,False,False
france-injected-98,False,False,False,False,False,False,False,False,False,False,False
france-injected-99,False,False,False,False,False,False,False,False,False,False,False
italy-injected-0,False,False,False,False,False,False,False,False,False,False,False
italy-injected-1,False,False,False,False,False,False,False,False,False,False,False
italy-injected-10,False,False,False,False,False,False,False,False,False,False,False
italy-injected-100,False,False,False,False,False,False,False,False,False,False,False
italy-injected-101,False,False,False,False,False,False,False,False,False,False,False
italy-injected-102,False,False,False,False,False,False,False,False,False,False,False
italy-injected-103,False,False,False,False,False,False,False,False,False,False,False
italy-injected-104,True,True,True,True,True,True,True,True,True,True,True
italy-injected-105,False,False,False,False,False,False,False,False,False,False,False
italy-injected-106,False,False,False,False,False,False,False,False,False,False,False
italy-injected-107,True,True,True,True,True,True,True,True,True,True,True
italy-injected-108,False,False,False,False,False,False,False,False,False,False,False
italy-injected-109,False,False,False,False,False,False,False,False,False,False,False
italy-injected-11,False,False,False,False,False,False,False,False,False,False,False
italy-injected-110,False,False,False,False,False,False,False,False,False,False,False
italy-injected-111,True,True,True,True,True,True,True,True,True,True,True
italy-injected-112,False,False,False,False,False,False,False,False,False,False,False
italy-injected-113,False,False,False,False,False,False,False,False,False,False,False
italy-injected-114,False,False,False,False,False,False,False,False,False,False,False
italy-injected-115,True,True,True,True,True,True,True,True,True,True,True
italy-injected-116,False,False,False,False,False,False,False,False,False,False,False
italy-injected-117,False,False,False,False,False,False,False,False,False,False,False
italy-injected-118,True,True,True,True,True,True,True,True,True,True,True
italy-injected-119,False,False,False,False,False,False,False,False,False,False,False
italy-injected-12,True,True,True,True,True,True,True,True,True,True,True
italy-injected-120,False,False,False,False,False,False,False,False,False,False,False
italy-injected-121,False,False,False,False,False,False,False,False,False,False,False
italy-injected-122,True,True,True,True,True,True,True,True,True,True,True
italy-injected-123,False,False,False,False,False,False,False,False,False,False,True
italy-injected-124,False,False,False,False,False,False,False,False,False,False,False
italy-injected-125,False,False,False,False,False,False,False,False,False,False,False
italy-injected-126,False,False,False,False,False,True,True,False,True,False,True
italy-injected-127,True,True,False,True,True,True,True,True,True,True,True
italy-injected-128,True,True,True,True,True,True,True,True,True,True,True
italy-injected-129,False,False,False,False,False,False,False,False,False,False,False
italy-injected-13,False,False,False,False,False,False,False,False,False,False,False
italy-injected-130,True,True,True,True,True,True,True,True,True,True,True
italy-injected-131,False,False,False,False,False,False,False,False,False,False,False
italy-injected-132,False,False,True,True,False,False,True,True,False,False,False
italy-injected-133,False,False,False,False,False,False,False,False,False,False,False
italy-injected-134,False,False,False,False,False,False,False,False,False,False,False
italy-injected-135,False,False,False,False,False,False,False,False,False,False,False
italy-injected-136,False,False,False,False,False,False,False,False,False,False,False
italy-injected-137,False,False,False,False,False,False,False,False,False,False,False
italy-injected-138,False,False,False,False,False,False,False,False,False,False,False
italy-injected-139,False,False,False,False,False,False,False,False,False,False,False
italy-injected-14,False,False,False,False,False,False,False,False,False,False,False
italy-injected-140,True,True,True,True,True,True,True,True,True,True,True
italy-injected-141,False,False,False,False,False,False,False,False,False,False,False
italy-injected-142,False,False,False,False,False,False,False,False,False,False,False
italy-injected-143,True,True,True,True,True,True,True,True,True,True,True
italy-injected-144,False,False,False,False,False,False,False,False,False,False,False
italy-injected-145,False,False,False,False,False,False,False,False,False,False,False
italy-injected-146,False,False,False,False,True,False,False,False,False,False,False
italy-injected-147,True,False,False,False,True,False,False,True,False,False,False
italy-injected-148,False,False,False,False,False,False,False,False,False,False,False
italy-injected-149,False,False,False,False,False,False,False,False,False,False,False
italy-injected-15,False,False,False,False,False,False,False,False,False,False,False
italy-injected-150,True,True,True,True,False,True,True,True,True,True,True
italy-injected-151,True,True,True,True,True,True,True,True,True,True,True
italy-injected-152,False,False,False,False,False,False,False,False,False,False,False
italy-injected-153,False,False,False,False,False,False,False,False,False,False,False
italy-injected-154,False,False,False,False,False,False,False,False,False,False,False
italy-injected-155,False,False,False,False,False,False,False,False,False,False,False
italy-injected-156,False,False,False,False,False,False,False,False,False,False,False
italy-injected-157,True,True,True,True,True,True,True,True,True,True,True
italy-injected-158,False,False,False,False,False,True,False,False,False,False,False
italy-injected-159,False,False,True,True,True,False,False,False,False,False,False
italy-injected-16,False,False,False,False,False,False,False,False,False,False,False
italy-injected-160,True,True,False,True,True,False,True,True,False,False,False
italy-injected-161,True,True,True,True,True,True,True,True,True,True,True
italy-injected-162,False,False,False,False,False,False,False,False,False,False,False
italy-injected-163,False,False,False,False,False,False,False,False,False,False,False
italy-injected-164,False,False,False,False,False,False,False,False,False,False,False
italy-injected-165,False,False,False,False,False,False,False,False,False,False,False
italy-injected-166,False,False,False,False,False,False,False,False,False,False,False
italy-injected-167,False,False,False,False,False,False,False,False,False,False,False
italy-injected-168,True,True,True,True,True,True,True,True,True,True,True
italy-injected-169,False,False,False,False,False,False,False,False,False,False,False
italy-injected-17,False,False,False,False,False,False,False,False,False,False,False
italy-injected-170,False,False,False,False,False,False,False,False,False,False,False
italy-injected-171,False,False,False,False,False,False,False,False,False,False,False
italy-injected-172,False,False,False,False,False,False,False,False,False,False,False
italy-injected-173,False,False,False,False,False,False,False,False,False,False,False
italy-injected-174,True,True,True,False,True,False,True,False,True,False,True
italy-injected-175,False,False,False,False,False,False,False,False,False,False,False
italy-injected-176,True,True,True,True,True,True,True,True,True,True,True
italy-injected-177,False,False,False,False,False,False,False,False,False,False,True
italy-injected-178,False,True,True,False,False,True,False,False,False,False,False
italy-injected-179,False,False,False,False,False,False,False,False,False,False,False
italy-injected-18,False,False,False,False,False,False,False,False,False,False,False
italy-injected-180,False,False,False,False,False,False,False,False,False,False,False
italy-injected-181,False,False,False,False,False,False,False,False,False,False,False
italy-injected-182,False,False,False,False,False,False,False,False,False,False,False
italy-injected-183,False,False,False,False,False,False,False,False,False,False,False
italy-injected-184,False,False,False,False,False,False,False,False,False,False,False
italy-injected-185,False,False,False,False,False,False,False,False,False,False,False
italy-injected-186,False,False,False,False,False,False,False,False,False,False,False
italy-injected-187,False,False,False,False,False,False,False,False,False,False,False
italy-injected-188,False,False,True,False,False,False,False,True,False,False,False
italy-injected-189,False,False,False,False,False,False,False,False,False,False,False
italy-injected-19,False,False,False,False,False,False,False,False,False,False,False
italy-injected-190,False,False,False,False,False,False,False,False,False,False,False
italy-injected-191,False,False,False,False,False,False,False,False,False,False,False
italy-injected-192,True,True,True,True,True,True,True,True,True,True,True
italy-injected-193,False,False,False,True,True,True,False,False,True,False,False
italy-injected-194,False,False,False,False,False,False,False,False,False,False,False
italy-injected-195,False,False,True,True,False,False,False,False,True,False,False
italy-injected-196,True,True,True,True,True,True,True,True,True,True,True
italy-injected-197,False,False,False,False,False,False,False,False,False,False,False
italy-injected-198,False,False,False,False,False,False,False,False,False,False,False
italy-injected-199,False,False,False,False,False,False,False,False,False,False,False
italy-injected-2,False,False,False,False,False,False,False,False,False,False,False
italy-injected-20,False,False,False,False,False,False,False,False,False,False,False
italy-injected-21,False,False,False,False,False,False,False,False,False,False,False
italy-injected-22,True,True,True,True,True,True,True,True,True,True,True
italy-injected-23,False,False,False,False,False,False,False,False,False,False,False
italy-injected-24,False,False,False,False,False,False,False,False,False,False,False
italy-injected-25,True,True,True,True,True,True,True,True,True,True,True
italy-injected-26,True,True,True,True,True,True,True,True,True,True,True
italy-injected-27,False,False,False,False,False,False,False,True,False,False,False
italy-injected-28,False,False,False,False,False,False,False,False,False,False,False
italy-injected-29,False,False,False,False,False,False,False,False,False,False,False
italy-injected-3,False,False,False,False,False,False,False,False,False,False,False
italy-injected-30,False,False,False,False,False,False,False,False,False,False,False
italy-injected-31,False,False,False,False,False,False,False,False,False,False,False
italy-injected-32,False,False,False,False,False,False,False,False,False,False,False
italy-injected-33,True,False,False,False,False,False,False,False,False,True,True
italy-injected-34,False,False,False,False,False,False,False,False,False,False,False
italy-injected-35,False,True,False,False,True,True,True,False,True,True,True
italy-injected-36,False,False,False,False,False,False,False,False,False,False,False
italy-injected-37,False,False,False,False,False,False,False,False,False,False,False
italy-injected-38,False,False,False,False,False,False,False,False,True,True,False
italy-injected-39,False,False,False,False,False,False,False,False,False,False,False
italy-injected-4,False,False,False,False,False,False,False,False,False,False,False
italy-injected-40,True,True,True,True,True,True,True,True,True,True,True
italy-injected-41,False,False,False,False,False,False,False,False,False,False,False
italy-injected-42,True,True,True,True,True,True,True,True,True,True,True
italy-injected-43,False,False,False,False,False,False,False,False,False,False,False
italy-injected-44,False,False,False,False,False,False,False,False,False,False,False
italy-injected-45,False,False,False,False,False,False,False,False,False,False,False
italy-injected-46,False,False,False,False,False,False,False,False,False,False,False
italy-injected-47,False,False,False,False,False,False,False,False,False,False,False
italy-injected-48,False,False,False,False,False,False,False,False,True,True,True
italy-injected-49,False,False,False,False,False,False,False,False,False,False,False
italy-injected-5,False,False,False,False,False,False,False,False,False,False,False
italy-injected-50,False,False,False,False,False,False,False,False,False,False,False
italy-injected-51,True,True,False,True,True,True,True,True,True,True,True
italy-injected-52,False,False,False,False,False,False,False,False,False,False,False
italy-injected-53,False,False,False,False,False,False,False,False,False,False,False
italy-injected-54,False,False,True,False,True,True,True,True,True,True,True
italy-injected-55,False,False,False,False,False,False,False,False,False,False,False
italy-injected-56,False,False,False,False,False,False,False,False,False,False,False
italy-injected-57,False,False,False,False,False,False,False,False,False,False,True
italy-injected-58,False,False,False,False,False,False,False,False,False,False,False
italy-injected-59,False,False,False,False,False,False,False,False,False,False,False
italy-injected-6,True,True,True,True,True,True,True,True,True,True,True
italy-injected-60,False,False,False,False,False,False,False,False,False,False,False
italy-injected-61,False,False,False,False,False,False,False,False,False,False,False
italy-injected-62,False,False,False,False,False,False,False,False,False,False,False
italy-injected-63,False,False,False,False,False,False,False,False,False,False,False
italy-injected-64,False,False,False,False,False,False,False,False,False,False,False
italy-injected-65,True,True,True,True,True,True,True,True,True,True,True
italy-injected-66,True,True,True,True,True,True,True,True,True,True,True
italy-injected-67,False,False,False,False,False,False,False,False,False,False,False
italy-injected-68,True,True,False,False,True,True,True,False,True,False,False
italy-injected-69,True,True,True,True,True,True,True,True,True,True,True
italy-injected-7,True,True,True,True,True,True,True,True,True,True,True
italy-injected-70,False,False,False,False,False,False,False,False,False,False,False
italy-injected-71,False,False,False,False,False,False,False,False,False,False,False
italy-injected-72,False,False,False,False,False,False,False,False,False,False,False
italy-injected-73,False,False,False,False,False,False,False,False,False,False,False
italy-injected-74,False,False,False,False,False,False,False,False,False,False,False
italy-injected-75,False,False,False,False,False,False,False,False,False,False,False
italy-injected-76,False,False,False,False,False,False,False,False,False,False,False
italy-injected-77,False,False,False,False,False,False,False,False,False,False,False
italy-injected-78,False,False,False,False,False,False,False,False,False,False,False
italy-injected-79,False,False,False,False,False,False,False,False,False,False,False
italy-injected-8,False,False,False,False,False,False,False,False,False,False,False
italy-injected-80,True,True,True,True,True,True,True,False,False,False,False
italy-injected-81,False,False,False,False,False,False,False,False,False,False,False
italy-injected-82,False,False,False,False,False,False,False,False,False,False,False
italy-injected-83,True,True,True,True,True,True,True,True,True,True,True
italy-injected-84,False,False,False,False,False,False,False,False,False,False,False
italy-injected-85,False,False,False,False,False,False,False,False,False,False,False
italy-injected-86,False,False,False,False,False,False,False,False,False,False,False
italy-injected-87,False,False,False,False,False,False,False,False,False,False,False
italy-injected-88,False,False,False,False,False,False,False,False,False,False,False
italy-injected-89,False,False,False,False,False,False,False,False,False,False,False
italy-injected-9,False,False,False,False,False,False,False,False,False,False,True
italy-injected-90,False,False,False,False,False,False,False,False,False,False,False
italy-injected-91,False,False,False,False,False,False,False,False,False,False,False
italy-injected-92,False,False,False,False,False,False,False,False,False,False,False
italy-injected-93,True,True,True,True,True,True,True,True,True,True,True
italy-injected-94,False,True,False,False,False,False,False,False,False,False,False
italy-injected-95,False,False,False,False,False,False,False,False,False,False,False
italy-injected-96,False,False,False,False,False,False,False,False,False,False,False
italy-injected-97,False,False,False,False,False,False,False,False,False,False,False
italy-injected-98,False,False,False,False,False,False,False,False,False,False,False
italy-injected-99,False,False,False,False,False,False,False,False,False,False,False
japan-injected-0,False,True,False,True,True,True,False,False,True,False,True
japan-injected-1,False,True,False,True,True,True,False,False,True,False,True
japan-injected-10,False,False,False,False,False,False,False,False,False,False,False
japan-injected-100,True,False,True,False,False,False,True,False,False,False,False
japan-injected-101,False,False,False,False,False,False,False,False,False,False,False
japan-injected-102,False,False,False,False,False,False,False,False,False,False,False
japan-injected-103,False,False,False,False,False,False,False,False,False,False,False
japan-injected-104,True,False,False,False,False,False,False,True,False,True,False
japan-injected-105,False,False,False,False,False,False,False,False,False,False,False
japan-injected-106,False,False,False,False,False,False,False,False,False,False,False
japan-injected-107,True,True,True,True,True,True,True,True,True,True,True
japan-injected-108,True,True,True,True,True,False,True,True,True,True,False
japan-injected-109,False,False,False,False,False,False,False,False,False,False,False
japan-injected-11,False,False,False,False,False,False,False,False,False,False,False
japan-injected-110,False,False,False,True,False,False,False,False,False,False,False
japan-injected-111,True,True,True,True,True,True,True,True,True,True,True
japan-injected-112,False,False,False,False,False,False,False,False,False,False,False
japan-injected-113,False,False,False,False,False,False,False,False,False,False,False
japan-injected-114,False,False,False,False,False,False,False,False,False,False,False
japan-injected-115,True,True,True,True,True,True,True,True,False,True,True
japan-injected-116,False,False,False,False,False,False,False,False,False,False,False
japan-injected-117,False,False,False,False,False,False,False,False,False,False,False
japan-injected-118,True,True,True,True,True,True,True,True,True,True,True
japan-injected-119,False,False,False,False,False,False,False,False,False,False,False
japan-injected-12,True,True,True,True,True,True,True,True,True,True,True
japan-injected-120,False,True,False,True,True,True,True,False,True,False,True
japan-injected-121,False,False,False,False,False,False,False,False,False,False,False
japan-injected-122,False,False,False,False,True,True,False,True,True,True,True
japan-injected-123,False,False,False,False,False,False,False,False,False,False,False
japan-injected-124,False,False,False,False,False,False,False,False,False,False,False
japan-injected-125,True,True,True,True,True,True,True,True,True,True,False
japan-injected-126,False,True,True,False,False,False,True,True,False,False,True
japan-injected-127,True,True,True,True,False,False,True,True,True,True,True
japan-injected-128,True,True,True,True,True,True,True,True,True,True,True
japan-injected-129,False,False,False,False,False,False,False,False,False,False,False
japan-injected-13,False,False,False,False,False,False,False,False,False,False,False
japan-injected-130,True,True,True,True,True,True,True,True,True,True,True
japan-injected-131,False,False,False,False,False,False,False,False,False,False,False
japan-injected-132,False,False,True,True,True,True,True,True,True,True,True
japan-injected-133,False,False,False,False,False,False,False,False,False,False,False
japan-injected-134,False,False,False,False,False,False,False,False,False,False,False
japan-injected-135,False,False,False,False,False,False,False,False,False,False,False
japan-injected-136,False,False,False,False,False,False,False,False,False,False,False
japan-injected-137,False,False,False,False,False,False,False,True,False,True,True
japan-injected-138,False,False,False,False,False,False,False,False,False,False,False
japan-injected-139,False,False,False,False,False,False,False,False,False,False,False
japan-injected-14,True,True,True,True,True,True,True,True,True,True,True
japan-injected-140,True,True,True,True,True,True,True,True,True,True,True
japan-injected-141,False,False,False,False,False,False,False,False,False,False,True
japan-injected-142,False,False,False,False,True,False,False,False,False,False,False
japan-injected-143,False,True,True,True,True,True,True,True,True,False,True
japan-injected-144,False,False,False,False,False,False,False,False,False,False,False
japan-injected-145,False,False,False,False,False,False,False,False,False,False,False
japan-injected-146,True,True,True,True,True,True,False,False,False,False,False
japan-injected-147,False,False,False,False,False,False,False,False,False,False,False
japan-injected-148,False,False,False,False,False,False,False,False,False,False,False
japan-injected-149,False,False,False,False,False,False,False,False,False,False,False
japan-injected-15,True,True,True,False,True,True,True,True,True,True,True
japan-injected-150,True,True,True,True,True,True,True,True,True,True,True
japan-injected-151,True,True,True,True,True,True,True,True,True,True,True
japan-injected-152,False,False,False,False,False,False,False,False,False,False,False
japan-injected-153,False,False,False,False,False,False,False,False,False,False,False
japan-injected-154,False,False,False,False,False,False,False,False,False,False,False
japan-injected-155,False,False,False,False,False,False,False,False,False,False,False
japan-injected-156,False,False,False,False,False,False,False,False,False,False,False
